iter	RMSE
0	0.4989809527
1	0.4985243733
2	0.4973511901
3	0.4963600046
4	0.4955551194
5	0.4950692954
6	0.494427502
7	0.493952026
8	0.4933556425
9	0.492588653
10	0.4917377055
11	0.4912021444
12	0.4905233194
13	0.4900445043
14	0.4892801445
15	0.4886766968
16	0.4883612185
17	0.4877960443
18	0.4873638145
19	0.4868390867
20	0.4862555004
21	0.4857576412
22	0.4853733836
23	0.4849380917
24	0.4843502441
25	0.483922078
26	0.4837646832
27	0.4833481322
28	0.4828213909
29	0.4823059947
30	0.4818754995
31	0.4813008269
32	0.4811484414
33	0.4808511067
34	0.4804780407
35	0.4800783873
36	0.4795838118
37	0.4793562266
38	0.4789702043
39	0.4785449458
40	0.4782245039
41	0.4777562622
42	0.4774116589
43	0.4769496307
44	0.4765629198
45	0.4763178531
46	0.4759679182
47	0.4752391853
48	0.4749225449
49	0.4744333513
50	0.4741246657
51	0.4736282595
52	0.4733282357
53	0.4728618608
54	0.4723215416
55	0.4719472592
56	0.4716073158
57	0.4712360543
58	0.4707779054
59	0.4704854619
60	0.4699963661
61	0.4695840263
62	0.469035678
63	0.4688118553
64	0.4685476765
65	0.4683165939
66	0.467796859
67	0.4673544273
68	0.4670198283
69	0.4666924839
70	0.4663302582
71	0.466157868
72	0.4657908016
73	0.4655310628
74	0.4651466639
75	0.4647164989
76	0.4644466185
77	0.4642132704
78	0.4639117416
79	0.4632782359
80	0.4631335619
81	0.4628045264
82	0.4624410646
83	0.4620538186
84	0.4614060319
85	0.4611705422
86	0.4607216022
87	0.4604626082
88	0.4601093831
89	0.4597909443
90	0.4592532188
91	0.4588707081
92	0.4585791946
93	0.4581663818
94	0.4579050144
95	0.4575189065
96	0.4572148565
97	0.456876272
98	0.4565984191
99	0.4564365583
100	0.4561333393
101	0.4558191654
102	0.4554429941
103	0.4552056454
104	0.4548491102
105	0.4546078458
106	0.4542895227
107	0.454072593
108	0.4538540228
109	0.4535241644
110	0.4533386843
111	0.4530216433
112	0.4528273304
113	0.4525886791
114	0.452285382
115	0.4517914681
116	0.4515908479
117	0.4512476383
118	0.4510551645
119	0.4507192293
120	0.4504118094
121	0.4499811855
122	0.4497222158
123	0.4492548132
124	0.4489596761
125	0.4484205387
126	0.4479714548
127	0.4474334644
128	0.447259639
129	0.4469466881
130	0.446351509
131	0.446194267
132	0.4459374488
133	0.4458236183
134	0.4455530091
135	0.4453176973
136	0.4449758798
137	0.4447617896
138	0.4445249431
139	0.4443492496
140	0.4439551304
141	0.4435840542
142	0.4433679606
143	0.4431353183
144	0.4429603597
145	0.4427330785
146	0.442366697
147	0.4421048086
148	0.4416911873
149	0.4414951877
150	0.441105643
151	0.44074353
152	0.4404208591
153	0.4400921286
154	0.4398135084
155	0.4395348945
156	0.4392364825
157	0.4389425219
158	0.4385536965
159	0.4381887365
160	0.4376575892
161	0.4370938153
162	0.4367046539
163	0.4364567543
164	0.4363353865
165	0.4360358543
166	0.435753049
167	0.435487179
168	0.4351064563
169	0.4348505148
170	0.4344597896
171	0.4340664906
172	0.4339020101
173	0.4334248662
174	0.4330713046
175	0.4327587953
176	0.4323370302
177	0.4320357312
178	0.4317987381
179	0.4312655599
180	0.4308266254
181	0.4304929291
182	0.4301498714
183	0.430016904
184	0.4295861553
185	0.4292586547
186	0.428971387
187	0.4286243247
188	0.4282297653
189	0.4278092583
190	0.427578638
191	0.4272468752
192	0.4269339398
193	0.4266821572
194	0.4261676381
195	0.4257315793
196	0.4252705559
197	0.4249737654
198	0.4245331712
199	0.4242799015
200	0.4239576687
201	0.4236869012
202	0.4232545375
203	0.4229604364
204	0.4227182136
205	0.4223158987
206	0.4219055874
207	0.421713384
208	0.4215518179
209	0.4213253923
210	0.4211763646
211	0.4209588557
212	0.4205950392
213	0.4202044043
214	0.4200234736
215	0.4195450036
216	0.4193730412
217	0.4191172278
218	0.4188239657
219	0.4184568655
220	0.418115755
221	0.4178189675
222	0.4173292556
223	0.4169540011
224	0.4165140885
225	0.4162566892
226	0.4157715698
227	0.4153058365
228	0.4149607678
229	0.4147407365
230	0.4145033541
231	0.4140860605
232	0.4137492245
233	0.4133506113
234	0.4130195092
235	0.4128628796
236	0.4124752176
237	0.4124065573
238	0.4118636389
239	0.4114129432
240	0.4110852035
241	0.4106358311
242	0.410297562
243	0.4098347267
244	0.4093282012
245	0.4090899586
246	0.4089151077
247	0.408408099
248	0.4080613182
249	0.4077576108
250	0.4073445487
251	0.4069345698
252	0.4065828665
253	0.4061764017
254	0.4057537012
255	0.4055331994
256	0.4051270075
257	0.4047659537
258	0.4046079497
259	0.4041555492
260	0.403749229
261	0.4033617021
262	0.4030129526
263	0.4026296782
264	0.402391422
265	0.4020063224
266	0.4016778633
267	0.4015291164
268	0.4010217641
269	0.4006453149
270	0.4003093741
271	0.400077872
272	0.3997531541
273	0.3994663556
274	0.3991316785
275	0.3987348386
276	0.3982162202
277	0.3977191569
278	0.397592766
279	0.3974400987
280	0.3971140338
281	0.3966543216
282	0.3963400368
283	0.3961094716
284	0.3958752345
285	0.3955130956
286	0.3952082212
287	0.3948337031
288	0.3945928322
289	0.3945195562
290	0.39422555
291	0.3939589899
292	0.393892754
293	0.3933411359
294	0.3931014139
295	0.3928359489
296	0.3924723073
297	0.3924275514
298	0.392122431
299	0.3920647391
300	0.3917534302
301	0.3914323824
302	0.3910579736
303	0.3909150263
304	0.3905545307
305	0.3904186718
306	0.390194612
307	0.3900406618
308	0.3896829576
309	0.3894379977
310	0.3893200465
311	0.3889960379
312	0.3887215256
313	0.3883655364
314	0.3881553209
315	0.3879628768
316	0.3876703871
317	0.3872752496
318	0.3870700777
319	0.3867979415
320	0.3863622305
321	0.386066915
322	0.3856699875
323	0.3851897948
324	0.3849089961
325	0.3845942409
326	0.3841789282
327	0.3839086916
328	0.3834865607
329	0.3832767654
330	0.3829455398
331	0.3829076798
332	0.3826722187
333	0.3824745614
334	0.3822255011
335	0.3819245102
336	0.3817660902
337	0.3816216662
338	0.3813177208
339	0.3811419443
340	0.3810952962
341	0.3808268312
342	0.3804973756
343	0.3801797238
344	0.3799563517
345	0.379300612
346	0.3790702496
347	0.3788069904
348	0.3785352498
349	0.3782798717
350	0.377979069
351	0.377804959
352	0.3774362817
353	0.3770804777
354	0.3767973975
355	0.3763183898
356	0.3760831471
357	0.3759011043
358	0.3757251156
359	0.375576687
360	0.3752620683
361	0.3749922283
362	0.3747172641
363	0.3743237836
364	0.373822384
365	0.3733837265
366	0.3732731636
367	0.3730872591
368	0.3728684071
369	0.3726164842
370	0.3722506109
371	0.3718988609
372	0.3715644056
373	0.3713427442
374	0.3712468889
375	0.370906087
376	0.3705772191
377	0.3704941534
378	0.3703031758
379	0.3700774434
380	0.369873816
381	0.3695927098
382	0.3692314618
383	0.369138551
384	0.3686841745
385	0.3683736648
386	0.3681508617
387	0.367752503
388	0.3672127104
389	0.3669380754
390	0.36661977
391	0.3663270058
392	0.3660625993
393	0.3658932622
394	0.3658588249
395	0.3655538966
396	0.3654042215
397	0.3650858973
398	0.3649722757
399	0.3648206217
400	0.3645147141
401	0.3643635692
402	0.3640869224
403	0.363853892
404	0.3636551448
405	0.3633101592
406	0.3629573387
407	0.362647494
408	0.3624827267
409	0.3620485782
410	0.3617227906
411	0.361611203
412	0.3611706513
413	0.360919711
414	0.36063649
415	0.3602586399
416	0.3598900542
417	0.3597067699
418	0.3594077598
419	0.3592076837
420	0.3589970036
421	0.3587772724
422	0.3585019023
423	0.3582567287
424	0.3579774394
425	0.3576397803
426	0.3573439049
427	0.3569421278
428	0.356590719
429	0.356379492
430	0.3561116874
431	0.3560299403
432	0.3557941091
433	0.3555760838
434	0.3552035087
435	0.3549126811
436	0.3546551784
437	0.3543899369
438	0.3539992744
439	0.3535507893
440	0.3532739048
441	0.3530810995
442	0.3528892688
443	0.3527504355
444	0.3524764473
445	0.3523041299
446	0.3518589438
447	0.3515295656
448	0.351231762
449	0.3511073599
450	0.3508046942
451	0.3506400375
452	0.3503775275
453	0.3500254896
454	0.3498200313
455	0.3493674666
456	0.3491762017
457	0.3491118991
458	0.3490647845
459	0.3486940426
460	0.3485204704
461	0.3484877279
462	0.3482013302
463	0.3479469565
464	0.347707229
465	0.3473042412
466	0.3470019671
467	0.3467469665
468	0.3465833456
469	0.3462116211
470	0.3459450995
471	0.345712342
472	0.3454585983
473	0.3452415286
474	0.3450510135
475	0.3448451104
476	0.3445937803
477	0.3443596844
478	0.3440834199
479	0.343695394
480	0.3433496989
481	0.3430274366
482	0.3427808244
483	0.3425620102
484	0.3422180218
485	0.3421388189
486	0.3419424616
487	0.3416657976
488	0.3413925567
489	0.3412271582
490	0.3409782556
491	0.3407309867
492	0.3406432782
493	0.340407159
494	0.3402007172
495	0.3398893937
496	0.3396758272
497	0.3393184707
498	0.3389503741
499	0.3386337005
500	0.3383428093
501	0.3380362727
502	0.3377930494
503	0.3374853781
504	0.3372302141
505	0.3368735128
506	0.3366922805
507	0.3364692146
508	0.3361791057
509	0.3360061751
510	0.3358415208
511	0.3355052734
512	0.3349673542
513	0.334807824
514	0.3345613374
515	0.3344501629
516	0.3341905305
517	0.3339384101
518	0.3337046372
519	0.3333780796
520	0.3331608165
521	0.3328966058
522	0.3326700926
523	0.3323350897
524	0.3322912626
525	0.3321916217
526	0.3320296616
527	0.3318054331
528	0.3315961649
529	0.3312922738
530	0.3310932076
531	0.3307260788
532	0.330416252
533	0.3300774562
534	0.3297637179
535	0.3295941403
536	0.3291138867
537	0.3289736128
538	0.3288196115
539	0.3286675376
540	0.3284203912
541	0.3282944464
542	0.3280312161
543	0.3279510062
544	0.327774418
545	0.3276309386
546	0.327489474
547	0.3272999059
548	0.3270875141
549	0.3268215663
550	0.3265806166
551	0.3264100936
552	0.3262585022
553	0.3260175637
554	0.3257678099
555	0.3254706674
556	0.3252748399
557	0.3250724451
558	0.324840334
559	0.3245731473
560	0.3244147133
561	0.3242192904
562	0.3240367141
563	0.3238300837
564	0.3236961519
565	0.3233384423
566	0.3230716992
567	0.3229459931
568	0.3227949705
569	0.3225056508
570	0.3223397572
571	0.3221044302
572	0.3218020507
573	0.3216288124
574	0.3215077838
575	0.3213039962
576	0.3208902279
577	0.3206920976
578	0.3206013874
579	0.3204768563
580	0.3203186536
581	0.3201364276
582	0.3198450591
583	0.3195444057
584	0.3193805837
585	0.3191664039
586	0.3187755913
587	0.3185820377
588	0.3182741657
589	0.3182428473
590	0.317999072
591	0.3177231156
592	0.317504903
593	0.3173734611
594	0.3172371938
595	0.3168846333
596	0.3168358077
597	0.3165610841
598	0.316342301
599	0.3161388675
600	0.3159283128
601	0.3157408797
602	0.3155172914
603	0.315352174
604	0.3151298143
605	0.3149590814
606	0.3148117752
607	0.3145211154
608	0.3143966822
609	0.3141594279
610	0.3141150852
611	0.3139501446
612	0.313763476
613	0.3135859742
614	0.3133104355
615	0.3130578616
616	0.3128327494
617	0.3126246244
618	0.3125338062
619	0.3122665066
620	0.3119274057
621	0.3117355005
622	0.3114311912
623	0.3112687563
624	0.3111125961
625	0.3108519267
