iter	Passed	Remaining
0	55	55032
1	55	27737
2	56	18618
3	56	14045
4	56	11304
5	57	9491
6	57	8206
7	58	7218
8	58	6454
9	58	5838
10	59	5333
11	59	4923
12	60	4578
13	60	4276
14	61	4017
15	61	3791
16	62	3592
17	62	3408
18	62	3248
19	63	3105
20	63	2982
21	64	2860
22	64	2748
23	65	2647
24	65	2556
25	66	2473
26	66	2391
27	66	2319
28	67	2250
29	67	2186
30	67	2125
31	68	2068
32	68	2015
33	69	1966
34	69	1921
35	70	1878
36	70	1834
37	70	1793
38	71	1754
39	71	1718
40	71	1683
41	72	1651
42	72	1621
43	73	1591
44	73	1563
45	73	1533
46	74	1509
47	74	1483
48	75	1458
49	75	1437
50	75	1413
51	76	1392
52	76	1372
53	77	1352
54	77	1333
55	78	1315
56	78	1298
57	78	1282
58	79	1265
59	79	1248
60	80	1231
61	80	1216
62	80	1201
63	81	1186
64	81	1172
65	81	1157
66	82	1144
67	82	1130
68	82	1118
69	83	1105
70	83	1095
71	84	1084
72	84	1075
73	85	1063
74	85	1053
75	85	1042
76	86	1032
77	86	1023
78	87	1014
79	87	1004
80	87	996
81	88	988
82	88	980
83	89	971
84	89	962
85	89	953
86	90	945
87	90	937
88	90	929
89	91	922
90	91	916
91	92	908
92	92	902
93	92	895
94	93	889
95	93	882
96	94	875
97	94	869
98	94	863
99	95	857
100	95	851
101	96	846
102	96	841
103	96	834
104	97	829
105	97	823
106	97	817
107	98	811
108	98	808
109	99	802
110	99	797
111	100	793
112	100	788
113	100	784
114	101	779
115	101	775
116	102	770
117	102	766
118	102	761
119	103	757
120	103	754
121	104	750
122	104	746
123	105	742
124	105	738
125	105	734
126	106	730
127	106	725
128	106	721
129	107	718
130	107	715
131	108	711
132	108	707
133	108	703
134	109	700
135	109	697
136	110	693
137	110	690
138	110	686
139	111	683
140	111	680
141	112	677
142	112	673
143	112	670
144	113	666
145	113	663
146	113	660
147	114	657
148	114	654
149	115	652
150	115	649
151	115	646
152	116	643
153	116	641
154	117	637
155	117	635
156	117	632
157	118	629
158	118	627
159	119	625
160	119	623
161	120	620
162	120	617
163	120	614
164	120	611
165	121	609
166	121	607
167	122	604
168	122	603
169	123	601
170	123	599
171	124	597
172	124	595
173	124	593
174	125	591
175	125	588
176	126	587
177	126	585
178	127	583
179	127	581
180	127	578
181	128	576
182	128	573
183	129	572
184	129	569
185	129	567
186	129	565
187	130	562
188	130	560
189	131	558
190	131	557
191	132	555
192	132	553
193	132	551
194	133	550
195	133	548
196	134	546
197	134	544
198	134	543
199	135	541
200	135	539
201	135	537
202	136	534
203	136	532
204	136	531
205	137	529
206	137	527
207	138	525
208	138	523
209	138	521
210	139	520
211	139	519
212	140	517
213	140	515
214	140	514
215	141	512
216	141	510
217	141	509
218	142	507
219	142	506
220	143	504
221	143	503
222	143	501
223	144	499
224	144	498
225	144	496
226	145	494
227	145	493
228	145	491
229	146	489
230	146	487
231	146	486
232	147	484
233	147	483
234	148	482
235	148	480
236	148	479
237	149	477
238	149	476
239	150	475
240	150	473
241	150	472
242	151	470
243	151	469
244	151	468
245	152	467
246	152	465
247	153	464
248	153	462
249	153	461
250	154	460
251	154	459
252	155	458
253	155	456
254	155	455
255	156	454
256	156	452
257	157	451
258	157	450
259	157	449
260	158	447
261	158	446
262	159	445
263	159	444
264	159	442
265	160	441
266	160	440
267	160	439
268	161	438
269	161	437
270	162	436
271	162	435
272	163	434
273	163	432
274	163	431
275	164	430
276	164	429
277	164	428
278	165	427
279	165	426
280	166	425
281	166	424
282	166	423
283	167	421
284	167	420
285	167	419
286	168	418
287	168	416
288	169	416
289	169	415
290	169	414
291	170	413
292	170	412
293	171	410
294	171	410
295	171	409
296	172	407
297	172	406
298	173	405
299	173	404
300	173	403
301	174	402
302	174	402
303	175	400
304	175	399
305	175	398
306	176	397
307	176	396
308	176	395
309	177	394
310	177	393
311	177	392
312	178	391
313	178	390
314	179	390
315	179	388
316	180	387
317	180	387
318	181	386
319	181	385
320	181	384
321	182	383
